,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
3085,Laz,"['Kartvelian languages', 'Karto-Zan', 'Zan', 'Laz']",Data not available,lzz,lazz1240,"22,000 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Laz_language
3086,Tecóatl Mazatec,"['Oto-Manguean', 'Popolocan', 'Mazatecan', 'Highland', 'Western', 'Tecóatl Mazatec']",Data not available,Either:titlemaatitle – Tecóatl Mazatectitlepbmtitle – Puebla Mazatec,sanj1286,"53,000 (2000–2016)[1]","Oaxaca, Puebla",Data not available,Data not available,https://en.wikipedia.org/wiki/Tec%C3%B3atl_Mazatec
3087,Madurese,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', ' (?)', 'Madurese']","['Bawean', 'Bangkalan', 'Pamekasan', 'Sampang', 'Sapudi', 'Sumenep']",madtitle – Standard Madurese,madu1247,10-13.6 million (2008)[1],"Island of Madura, Sapudi Islands, Java, Singapore and Malaysia (as Boyanese)",Data not available,"Indonesia
East Java
",https://en.wikipedia.org/wiki/Madurese_language
3088,Barkul,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'East', '\xa0?', 'Barkul']","['Bo', 'Rukul']",mae,boru1244,"(2,000 cited 1999)[1]",Plateau State,Data not available,Data not available,https://en.wikipedia.org/wiki/Barkul_language
3089,Mafa,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Wandala–Mafa', 'Mafa languages', ' (A.5)', 'South (c)', 'Mafa']",Data not available,maf,mafa1239,"2,000,000 (2005)[1]","Far North Province, Borno State, Adamawa State",Data not available,Data not available,https://en.wikipedia.org/wiki/Mafa_language
3090,Magahi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern Zone (Magadhan)', 'Bihari', 'Magahi']","['Southern Magahi', 'Northern Magahi', 'Central Magahi', 'Khortha', 'Kurmali or Panchpargania']",mag,maga1260,12.6 million (2011 census)[4][5](additional speakers counted under Hindi),"Magadh (southern Bihar, northern Jharkhand, and northwestern West Bengal),[1][2][3]Terai region of Eastern Nepal",Data not available," India
Jharkhand[a][6]
",https://en.wikipedia.org/wiki/Magahi_language
3091,Marshallese,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Micronesian', 'Micronesian Proper', 'Nuclear Micronesian', 'Marshallese']",Data not available,mah,mars1254,"(55,000 cited 1979)[2]",Data not available, Marshall Islands,Data not available,https://en.wikipedia.org/wiki/Marshallese_language
3092,Maithili,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bihari', 'Maithili']",['Thēthi'],mai,mait1250,22 million (2000)[1],Mithila,"
India
Jharkhand[2] (additional official language)
Nepal
Koshi Province
Madhesh Province
",Data not available,https://en.wikipedia.org/wiki/Maithili_language
3093,Jalapa Mazatec,"['Oto-Manguean', 'Popolocan', 'Mazatecan', 'Lowland', 'Valley', 'Southern', 'Jalapa Mazatec']",Data not available,maj,jala1237,"18,000 (2000)[1]",San Felipe Jalapa de Díaz,Data not available,Data not available,https://en.wikipedia.org/wiki/Jalapa_Mazatec
3094,Makasar,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Makassaric', 'Makasar']","['Gowa-Takalar (Lakiung)', 'Jeʼneʼponto (Turatea)', 'Marusuʼ-Pangkajeʼneʼ']",mak,maka1311,2.1 million (2000 census)[1],South Sulawesi (Sulawesi),Data not available,Data not available,https://en.wikipedia.org/wiki/Makassarese_language
3095,Malayalam,"['Dravidian', 'Southern', '[4]', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Malayalam']","['Jeseri', 'Arabi Malayalam', 'Suriyani', 'Judeo-Malayalam', 'Beary', 'Paniya', 'Ravula', 'Aranadan', 'Kadar', 'Malapandaram', 'Malaryan', 'Malavedan', 'Mannan', 'Paliyan', 'Mullu Kurumba', 'Malankuravan', 'Kakkala']",mal,mala1464,"L1: 37 million (2011)[1][2][3]L2: 710,000[2]","Kerala with border communities in the Kanyakumari district of Tamil Nadu, Lakshadweep and Mahé, Puducherry","
Official languages of India
Kerala[5]
Lakshadweep
Mahé, Puducherry
",Data not available,https://en.wikipedia.org/wiki/Malayalam
3096,Mam,"['Mayan', '\nEastern Mayan', 'Greater Mamean', 'Mamean', 'Mam']","['Northern Mam', 'Central Mam', 'Soconusco', ' Mam', 'Western Mam', 'Southern Mam']",mam,mamm1241,"600,000 in Guatemala (2019 census)[1]10,000 in Mexico (2020 census)[2]","Chiapas and Campeche, MexicoQuetzaltenango, Huehuetenango, San Marcos, and Retalhuleu, Guatemala;",Data not available, Mexico Guatemala,https://en.wikipedia.org/wiki/Mam_language
3097,Chiquihuitlán Mazatec,"['Oto-Manguean', 'Popolocan', 'Mazatecan', 'Chiquihuitlán Mazatec']",Data not available,maq,chiq1250,"1,500 (2000)[1]340 monolinguals (1990 census)[2][1]","San Juan Chiquihuitlán, Oaxaca",Data not available,Data not available,https://en.wikipedia.org/wiki/Chiquihuitl%C3%A1n_Mazatec
3098,Marathi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern', 'Marathi–Konkani', 'Marathi']","['Maharashtrian Konkani', 'Varhadi Marathi', 'Thanjavur Marathi', 'East Indian Marathi', 'Judeo-Marathi']",Either:titlemartitle – Modern Marathititleomrtitle – Old Marathi,mara1378title  Modern Marathititleoldm1244title  Old Marathi,L1: 83 million (2011)[1]L2: 16 million (2011)[1],Maharashtra,"India
Maharashtra
Goa[4][5] (additional)
",Data not available,https://en.wikipedia.org/wiki/Marathi_language
3099,Maasai,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Nilotic', 'Eastern Nilotic', 'Ateker', '-', 'Lotuko', '-', 'Maa', 'Lotuko', '–', 'Maa', 'Maa', 'Maasai']",Data not available,mas,masa1300,1.5 million (2009 census – 2016)[1],Central and Southern Kenya and Northern Tanzania,Data not available,Data not available,https://en.wikipedia.org/wiki/Maasai_language
3100,Mawé,"['Tupian', 'Mawé']",Data not available,mav,sate1243,"9,200 (2008)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Maw%C3%A9_language
3101,Mampruli,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Gur', 'Northern', 'Oti–Volta', 'Western-Oti/Volta', 'Southeastern', 'Mampruli']",Data not available,maw,mamp1244,"230,000 (2004)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mamprusi_language
3102,North Moluccan Malay,"['Malay Creole', '\nEast Indonesian', 'North Moluccan Malay']",Data not available,max,nort2828,"700,000 (2001)[1]",North Maluku,Data not available,Data not available,https://en.wikipedia.org/wiki/North_Moluccan_Malay
3103,Mazahua,"['Oto-Manguean', 'Oto-Pamean', 'Otomian', 'Mazahua']",Data not available,Either:titlemmctitle – Toluca Mazahuatitlemaztitle – Central Mazahua,maza1293,"150,000 (2020 census)[1]","Mexico: State of Mexico, Toluca",Data not available,Data not available,https://en.wikipedia.org/wiki/Mazahua_language
3104,Higaonon,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Manobo', 'North', 'Higaonon']",Data not available,mba,higa1237,"(30,000 cited 1996)[1]","Misamis Oriental, western portions of Agusan del Norte, northwestern portions of Agusan del Sur and northern portions of Bukidnon in Mindanao",Data not available,Data not available,https://en.wikipedia.org/wiki/Higaonon_language
3105,Western Bukidnon Manobo,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Manobo', 'Central', 'West', 'Western Bukidnon Manobo']",Data not available,mbb,west2555,"15,000 (2008)[1]","mostly in southwestern portions of Northern Mindanao region, Mindanao",Data not available,Data not available,https://en.wikipedia.org/wiki/Western_Bukidnon_Manobo
3106,Macushi,"['Cariban', '\nVenezuelan Carib', 'Pemóng–Panare', 'Pemóng', 'Macushi']",Data not available,mbc,macu1259,"18,000 (2006)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Macushi_language
3107,Molala,"['Penutian', '?\n', 'Plateau Penutian', '?', 'Molala']",Data not available,mbe,mola1238,Data not available,Cascade Mountains of Oregon,Data not available,Data not available,https://en.wikipedia.org/wiki/Molala_language
3108,Malay trade and creole languages,"['Creole', 'Malay trade and creole languages']",Data not available,–,Data not available,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Baba_Malay
3109,Mangseng,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Southwest New Britain', 'Arawe–Pasismanua', 'Arawe', 'Mangseng']",Data not available,mbh,mang1403,"(2,500 cited 1998)[1]",New Britain,Data not available,Data not available,https://en.wikipedia.org/wiki/Mangseng_language
3110,Ilianen,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Manobo', 'Central', 'West', 'Ilianen']",Data not available,mbi,ilia1236,"15,000 (2000)[1]",Mindanao,Data not available,Data not available,https://en.wikipedia.org/wiki/Ilianen_language
3111,Nadëb,"['Nadahup', 'Nadëb']",['Kuyawi'],mbj,nade1244,370 (2011)[2],Amazonas,Data not available,Data not available,https://en.wikipedia.org/wiki/Nad%C3%ABb_language
3112,Malol,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Schouten', 'Siau', 'Malol']",Data not available,mbk,malo1245,"4,600 (2000)[1]","West Aitape Rural LLG, Sandaun Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Malol_language
3113,Maxakalí,"['Macro-Jê', 'Maxakalían', 'Maxakalí']",Data not available,mbl,west2636,"2,076 (2014)[2]",Minas Gerais,Data not available,Data not available,https://en.wikipedia.org/wiki/Maxakal%C3%AD_language
3114,"LEMBAAMA, Mbaama (Name root)","['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Mbete languages', ' (B.60)', 'LEMBAAMA, Mbaama (Name root)']",Data not available,mbm,omba1241,"25,000 (2000–2004)[1]",Haut-Ogooué in Gabon,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbama_language
3115,Macaguán,"['Guahiban', 'Macaguán']",Data not available,mbn,maca1259,300 (2008)[1],"between the Lipa, Ele, and Cuiloto rivers",Data not available,Data not available,https://en.wikipedia.org/wiki/Macagu%C3%A1n_language
3116,Damana,"['Chibchan', '\nArwako–Chimila', 'Arwako', 'Damana']",Data not available,mbp,mala1522,"1,850 (2007)[1]",Sierra Nevada de Santa Marta,Data not available,Data not available,https://en.wikipedia.org/wiki/Wiwa_language
3117,Maisin,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Papuan Tip', 'Maisin']",Data not available,mbq,mais1250,"2,600 (2000 census)[1]","Oro Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Maisin_language
3118,Nukak,"['Puinave-Maku', '?', '[3]', '[4]', '\nNorthwestern Puinave-Maku', 'Nukak-Kakwa', 'Nukak']","[""Wayari, Meu, Taka, Mi'pa""]",mbr,kaku1242,700 of Nukak proper (2010)[1]400 monolinguals (no date)[2],"Department of Guaviare, Amazon Basin",In Colombia it is recognized as an official language within the Nukak territory,Data not available,https://en.wikipedia.org/wiki/Nukak_language
3119,Sarangani,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Manobo', 'Southern', 'Sarangani']",Data not available,mbs,sara1327,"58,000 (2000 census)[1]",Mindanao,Data not available,Data not available,https://en.wikipedia.org/wiki/Sarangani_language
3120,Matigsalug,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Manobo', 'Central', 'South', 'Matigsalug']","['Kulamanen', 'Tigwa', 'Tala Ingod', 'Matig-Salug']",mbt,mati1250,"50,000 (2010)[1]","southern parts of Bukidnon province, Mindanao",Data not available,Data not available,https://en.wikipedia.org/wiki/Matigsalug_language
3121,Mbula-Bwazza,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Mbam', '-', 'Bube', '-', 'Jarawan', 'Jarawan', 'Nigerian Jarawan', 'Numan', 'Mbula-Bwazza']","['Bwazza', 'Mbula', 'Tambo', 'Kula', 'Gwamba']",mbu,mbul1260,"100,000 (2012)[1]",Adamawa State,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbula-Bwazza_language
3122,Mbulungish,"['Niger–Congo', '?\n', '\n? ', 'Atlantic–Congo', 'Rio Nunez', 'Mbulungish']",Data not available,mbv,mbul1258,(5000 cited 1998)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbulungish_language
3123,Maring,"['Trans–New Guinea', 'Chimbu–Wahgi', 'Jimi', 'Maring']","['Central Maring', 'Eastern Maring', 'Timbunki', 'Tsuwenki', 'Karamba', 'Kambegl']",mbw,mari1435,"(11,000 cited 1998)[1]",Madang Province and Western Highlands Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Maring_language
3124,Mari,"['Sepik', 'Bahinemo', 'Mari']",Data not available,mbx,mari1432,80 (2000)[1],East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mari_language_(Sepik)
3125,Memoni,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Sindhic', 'Memoni']",Data not available,mby,memo1238,1.8 Million (2014)[1],"Kathiawar (Gujarat), Sindh",Data not available,Data not available,https://en.wikipedia.org/wiki/Memoni_language
3126,Amoltepec Mixtec,"['Oto-Manguean', 'Mixtecan', 'Mixtec', 'Amoltepec Mixtec']",Data not available,mbz,amol1236,"5,600 (2000)[2]",Oaxaca,Data not available,Data not available,https://en.wikipedia.org/wiki/Amoltepec_Mixtec
3127,Maká,"['Matacoan', 'Maká']",Data not available,mca,maca1260,"1,500 (2000)[1]","Presidente Hayes Department, Asunción",Data not available,Data not available,https://en.wikipedia.org/wiki/Mak%C3%A1_language
3128,Machiguenga,"['Arawakan', '\nSouthern', 'Campa', 'Machiguenga']",Data not available,Either:titlemcbtitle – Machiguengatitlecoxtitle – titleNantititle (Pucapucari),mats1245,"6,200 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Matsiguenga_language
3129,Bitur,"['Trans–New Guinea', '\nFly River (Anim)', 'Tirio', 'Tirio–Bitur–Were', 'Bitur']",Data not available,mcc,bitu1242,860 (2000 census)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bitur_language
3130,Matsés,"['Panoan', '\nMayoruna', 'Mayo', 'Matses group', 'Matsés']",Data not available,mcf,mats1244,"2,200 (2006)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mats%C3%A9s_language
3131,Maquiritari,"['Cariban', '\nGuianan Carib', 'Maquiritari']",['Wayumara'],mch,maqu1238,"6,000 (2000 – 2001 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Ye%27kuana_language
3132,Mesem,"['Trans–New Guinea', 'Finisterre–Huon', 'Huon', 'Western Huon', 'Mesem']",Data not available,mci,mese1244,"(4,000 cited 1997 census)[1]","Huon Peninsula, Morobe Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Mesem_language
3133,Mvanip,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Mambiloid', 'Mambila–Konja', 'Mambila–Vute', 'Kamkam', 'Mvanip']",Data not available,mcj,mvan1238,(100 cited 1999)[1],Taraba State,Data not available,Data not available,https://en.wikipedia.org/wiki/Mvanip_language
3134,Mbunda,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', ' (', 'Zone K', ')', 'Chokwe–Luchazi', ' (K.10)', 'Mbunda']",Data not available,mcktitle – inclusive codetitleIndividual codes:titleyaxtitle – Yauma dialecttitlenkntitle – Nkangala dialect,mbun1249title  Mbundatitlenkan1238title  Nkangala,"260,000 (2000–2010)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbunda_language
3135,Macaguaje,"['Tucanoan', '\nWestern', 'Napo', 'Siona–Secoya?', 'Macaguaje']",Data not available,mcl,maca1261,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Macaguaje_language
3136,Papia Kristang,"['Portuguese Creole', '\nMalayo-Portuguese Creole', 'Papia Kristang']",Data not available,mcm,Nonetitlemala1533title  Malacca–Batavia Creole,"2,200 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kristang_language
3137,Massa,"['Afro-Asiatic', 'Chadic', 'Masa', 'North', 'Massa']","['Yagwa', 'Bongor', 'Wina', 'Walia', 'Domo', 'Gizay', 'Gumay', 'Ham', 'Budugum']",mcn,masa1322title  Masanatitlegize1234title  Gizeytitlehama1241title  Ham,"(340,000 cited 1982–2019)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Massa_language
3138,Makaa,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantu', ' (', 'Zone A', ')', 'Makaa–Njem', ' + Kako (A.80–90)', 'Ndzem–Bomwali', 'Makaa languages', 'Makaa']","['Bebend', 'Mbwaanz', 'Sekunda']",mcp,maka1304,"(80,000 cited 1987)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Makaa_language
3139,Ese,"['Trans–New Guinea', 'Koiarian', 'Baraic', 'Ese']",Data not available,mcq,esee1247,"10,000 (2000)[1]4,000 monolinguals (2001)[1]","Oro Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Ese_language
3140,Menya,"['Trans–New Guinea', 'Angan', 'Southeast', 'Menya']",Data not available,mcr,meny1245,"(20,000 cited 1998)[1]",Morobe Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Menya_language
3141,Mangbai,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Mbum–Day', 'Mbum', 'Northern Mbum', 'Tupuri–Mambai', 'Mangbai']",Data not available,mcs,mamb1294,"14,000 (2002–2011)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mangbai_language
3142,Leti,"['Niger–Congo', '?\n', 'Atlantic–Congo languages', 'Benue–Congo languages', 'Southern Bantoid languages', 'Bantu', 'Mbam', 'Sanaga', 'Tuki', '?', 'Leti']",Data not available,Either:titleleotitle – Letititlemcttitle – Mengisa (duplicate code),leti1245,"""small population"" (2014)[1]ritual L2 use",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mengisa_language
3143,Foia Foia,"['Trans–New Guinea', 'Fly River (Anim)', 'Inland Gulf', 'Foia Foia']",['Mahigi'],Either:titleffititle – Foia Foiatitlemcvtitle – Minanibai,mina1274title  Minanibaititlemahi1249title  Mahigi,180 (2000 census)[1]300 Minanibai reported 1980[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Minanibai_language
3144,Mawa,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic B', 'Sokoro (B.3)', '[2]', 'Mawa']",Data not available,mcw,mawa1270,"6,600 (2000)[1]",central,Data not available,Data not available,https://en.wikipedia.org/wiki/Mawa_language_(Chad)
3145,Mpiemo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantu', ' (', 'Zone A', ')', 'Makaa–Njem', ' + Kako (A.80–90)', 'Ndzem–Bomwali', 'Bekwilic', 'Mpumpong', 'Mpiemo']",Data not available,mcx,mpie1238,"(29,000 in CAR and Cameroon cited 1991–1996)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mpiemo_language
3146,Mawan,"['Trans–New Guinea', 'Madang', 'Croisilles', ' ', 'linkage', 'Mabuso', 'Hanseman', 'Mawan']",Data not available,mcz,mawa1267,2001 (2001)[1],Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mawan_language
3147,Mada,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Ninzic', 'Mada']",Data not available,mda,mada1282,"(100,000, not counting Nunku cited 1993)[1]","Nasarawa State, Kaduna State",Data not available,Data not available,https://en.wikipedia.org/wiki/Mada_language
3148,Morigi,"['Kiwaian', 'Morigi']",Data not available,mdb,mori1271,(700 cited 1975)[1],"Turama River region, Gulf Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Morigi_language
3149,Male,"['Trans–New Guinea', '?\n', 'Madang', 'Mindjim', 'Male']",Data not available,mdc,male1291,970 (2000 census)[1],Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Male_language_(Papuan)
3150,Mbum,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Vorta-Congo', 'North', 'Adamawa–Ubangi', 'Adamawa', 'Mbum–Day', 'Mbum', 'Mbum']",Data not available,mdd,mbum1254,"(51,000 cited 1982–1996)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbum_language
3151,Maba,"['Nilo-Saharan', '?\n', 'Maban', 'Mabang', 'Maba']","['Maba', 'Kodroy', 'Kabartu', 'Kondongo']",mde,maba1277,"570,000 (2019)[1]","Ouaddaï, Wadi Fira",Data not available,Data not available,https://en.wikipedia.org/wiki/Maba_language
3152,Moksha,"['Uralic', 'Mordvinic', 'Moksha']",Data not available,mdf,moks1248,"300,000 claimed to speak ""Mordvin"" while 20,000 claimed to speak ""Moksha Mordvin"" (2020 census)[2]",European Russia,Mordovia (Russia),Data not available,https://en.wikipedia.org/wiki/Moksha_language
3153,Maguindanaon,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Danao', 'Maguindanaon']","['Tau sa Ilud', 'Tau sa Laya', 'Biwangen']",mdh,magu1243,"2,021,099 - 3,219,000 (2020)[1]","Maguindanao del Norte, Maguindanao del Sur, Sultan Kudarat, North Cotabato, South Cotabato, Sarangani, Zamboanga del Sur, Zamboanga Sibugay, Davao del Sur, Davao del Norte, Davao Occidental",Regional language in the Philippines,Data not available,https://en.wikipedia.org/wiki/Maguindanao_language
3154,Mamvu,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'Eastern', 'Mangbutu–Lese', 'Mamvu']","['Mamvu', 'Amengi']",mdi,mamv1243,"(60,000 cited 1991)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mamvu_language
3155,Mangbetu,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'Eastern', 'Mangbetu–Asoa', 'Mangbetu']",Data not available,Either:titlemdjtitle – Mangbetutitlelmititle – Lombi,mang1394title  Mangbetutitlelomb1254title  Lombi,"(650,000 Mangbetu proper cited 1985)[1]Lombi: 12,000 (1993)[2]",Congo (DRC),Data not available,Data not available,https://en.wikipedia.org/wiki/Mangbetu_language
3156,Mangbutu,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'Eastern', 'Mangbutu–Lese', 'Mangbutu']",Data not available,mdk,mang1396,"(15,000 cited 1991)[1]",Congo (DRC),Data not available,Data not available,https://en.wikipedia.org/wiki/Mangbutu_language
3157,Maltese Sign Language,['Language isolate'],Data not available,mdl,malt1238,200 (2014)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Maltese_Sign_Language
3158,Mayogo,"['Ubangian', '\nSere–Mba', 'Ngbaka', 'Eastern', 'Mayogo–Bangba', 'Mayogo']",Data not available,mdm,mayo1261,"(100,000 cited 1991)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mayogo_language
3159,Mbati,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.10', ')', 'Ngondi–Ngiri', 'Mbati']",Data not available,mdn,mbat1248,"60,000 (2010 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbati_language
3160,Mbala,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone L', ')', 'Holu–Pende', ' (L.10)', '(formerly H.40)', 'Mbala']",Data not available,mdp,mbal1257,"(200,000 cited 1972)[1]",Bandundu Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbala_language
3161,Mbole,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone D', ')', 'Mbole–Enya', ' (D.10)', 'Mbole']",Data not available,mdq,mbol1247,"(100,000 cited 1971)[1]",Tshopo District,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbole_language
3162,Mandar,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Northern', 'Mandar']",Data not available,mdr,mand1442,"500,000 (2010 census)[1]",Sulawesi,Data not available,Data not available,https://en.wikipedia.org/wiki/Mandar_language
3163,Maria,"['Trans–New Guinea', 'Manubaran', 'Maria']",Data not available,mds,mari1438,"1,400 (2000 census)[1]",Central Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Maria_language_(Papua_New_Guinea)
3164,Mbere,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Mbete languages', ' (B.60)', 'Mbere']",['Ngwii'],mdt,mber1257,"110,000 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbere_language
3165,Mboko,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C', ')', 'Mboshi languages', ' (C.20)', 'Mboko']",['Ngare'],mdu,mbok1243,"27,000 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mboko_language
3166,Mbosi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C', ')', 'Mboshi languages', ' (C.20)', 'Mbosi']",Data not available,mdw,mbos1242,"110,000 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbosi_language
3167,Dizin,"['Afro-Asiatic', 'Omotic', 'North', 'Dizoid', 'Dizin']",Data not available,mdx,dizi1235,"34,000 (2007 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Dizin_language
3168,Maale,"['Afro-Asiatic', 'Omotic', 'North', 'Ometo', 'Maale']",Data not available,mdy,male1284,"105,000 (2010 census)[1]","South Omo, southeast of Jinka",Data not available,Data not available,https://en.wikipedia.org/wiki/Maale_language
3169,Suruí do Pará,"['Tupian', 'Tupí–Guaraní', 'Guaraní (IV)', 'Akwáwa', 'Suruí do Pará']",Data not available,mdz,suru1261,260 (2006)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Suru%C3%AD_do_Par%C3%A1_dialect
3170,Menka,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Southwest', 'Menka–Atoŋ', 'Menka']",Data not available,mea,menk1238,"5,200 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Menka_language
3171,Ikobi,"['Papuan Gulf', '\xa0?\n', '\nKikorian', 'Turama–Kikorian', 'Turama', 'Ikobi']",Data not available,meb,ikob1240,"1,600 (2009)[1]",Papua New Guinea,Data not available,Data not available,https://en.wikipedia.org/wiki/Ikobi_language
3172,Marra,"['Arnhem', 'Marran', 'Marra']",Data not available,mec,mara1385,8 (2016 census)[1],"Arnhem Land, Northern Territory",Data not available,Data not available,https://en.wikipedia.org/wiki/Marra_language
