lang,goglottocodettolog,url_x,Unnamed: 0,glottocode,url_y,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
Par%C3%A1_Ar%C3%A1ra_language,kago1247,https://en.wikipedia.org/wiki/Gyong_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Central', '\xa0?', 'Gyongic\xa0?', 'Gyong']",,kdm,"25,000 (2000)[1]",Kaduna State,,
Par%C3%A1_Ar%C3%A1ra_language,kund1255,https://en.wikipedia.org/wiki/Kunda_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Nyasa', 'Sena (N40)', 'Kunda']",,kdn,"160,000 (2000)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kani1277,https://en.wikipedia.org/wiki/Ninkyob-Nindem_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Ninzic', 'Ninkyob-Nindem']","['Ninkyob (Kaningkom)', 'Nindem (Minden, Ninjang, Nindang)']",kdp,"12,000 (2008)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,koch1250,https://en.wikipedia.org/wiki/Koch_language,,,,"['Sino-Tibetan', 'Tibeto-Burman', 'Sal', 'Boro-Garo', 'Koch', 'Koch']",,kdq,"36,434 (2011)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kara1464,https://en.wikipedia.org/wiki/Karaim_language,,,,"['Turkic', 'Common Turkic', 'Kipchak', 'Kypchak–Cuman', 'Karaim']",,kdr,80 (2014)[2],,, Poland Ukraine[3][4] Russia[citation needed]
Par%C3%A1_Ar%C3%A1ra_language,kuys1235,https://en.wikipedia.org/wiki/Kuy_language,,,,"['Austroasiatic', 'Katuic', 'West Katuic', 'Kuy']",,Either:titlekdttitle – Kuy (Kuay)titlenyltitle – Nyeu (Yoe),"ca. 450,000 (2005–2006)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kada1282,https://en.wikipedia.org/wiki/Kadaru_language,,,,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Northern Eastern', 'Nubian', 'Hill Nubian', 'Kadaru–Ghulfan', 'Kadaru']",,kdu,"25,000 (2013)[1]",Nuba Mountains,,
Par%C3%A1_Ar%C3%A1ra_language,kone1241,https://en.wikipedia.org/wiki/Koneraw_language,,,,"['Trans–New Guinea', 'Central & South New Guinea', '\xa0?', 'Mombum', 'Koneraw']",,kdw,"1,200 (2001)[1]","Yos Sudarso Island, West New Guinea",,
Par%C3%A1_Ar%C3%A1ra_language,kamm1249,https://en.wikipedia.org/wiki/Nyingwom_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Savanna', 'Nyingwom']",,kdx,"(5,000 cited 1993)[1]",eastern Nigeria,,
Par%C3%A1_Ar%C3%A1ra_language,kede1239,https://en.wikipedia.org/wiki/Keijar_language,,,,"['Foja Range', ' (Tor–Kwerba)\n', 'Orya–Tor', 'Tor', 'Tor Coast', 'Keijar']",,kdy,370 (2005)[1],West Papua,,
Par%C3%A1_Ar%C3%A1ra_language,kabu1256,https://en.wikipedia.org/wiki/Cape_Verdean_Creole,,,,"['Portuguese Creole', '\nAfro-Portuguese Creole', 'Upper Guinea Creole', 'Cape Verdean Creole']",,kea,"871,000 (2017)[3]",,,
Par%C3%A1_Ar%C3%A1ra_language,,https://en.wikipedia.org/wiki/Kele_language_(Gabon),,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Kele languages', ' (b. 20)', 'Kélé']",,"Either:titlekebtitle – West Kele, Bubititlenratitle – Ngom","14,000 (2000–2007)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,keig1242,https://en.wikipedia.org/wiki/Keiga_language,,,,"['Nilo-Saharan', '?\n', 'Kadu', 'Kadugli-Krongo', 'Keiga']","['Demik', 'Aigang']",kec,"(6,100 cited 1984)[1]",Kordofan,,
Par%C3%A1_Ar%C3%A1ra_language,kere1283,https://en.wikipedia.org/wiki/Kerewe_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Northeast Bantu', 'Great Lakes Bantu', 'West Nyanza', 'Kerebe']",,ked,"(100,000 cited 1987)[1]",Lake Victoria,,
Par%C3%A1_Ar%C3%A1ra_language,tese1238,https://en.wikipedia.org/wiki/Tese_language,,,,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Temein', 'Tese']",,kegtitle  (shared with titleKeiga Jirrutitle),"(1,400 with Keiga Jirru, cited 1971)[1]",Nuba Hills,,
Par%C3%A1_Ar%C3%A1ra_language,keak1239,https://en.wikipedia.org/wiki/Keak_language,,,,"['Sepik', 'Middle Sepik', 'Ndu', 'Sawos (Malinguat)', 'Keak']",,keh,"(6,000 cited 1986–2000)[1][2]",Sepik River basin,,
Par%C3%A1_Ar%C3%A1ra_language,keii1239,https://en.wikipedia.org/wiki/Kei_language,,,,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Kei–Tanimbar', 'Kei–Fordata', 'Kei']",,kei,"85,000 (2000)[1]",Maluku Islands,,
Par%C3%A1_Ar%C3%A1ra_language,kada1242,https://en.wikipedia.org/wiki/Kadar_language,,,,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Kadar']",,kej,"2,000 (2004 survey)[1]","Kerala, Tamil Nadu",,
Par%C3%A1_Ar%C3%A1ra_language,kekc1242,https://en.wikipedia.org/wiki/Q%CA%BCeqchi%CA%BC_language,,,,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Qʼeqchiʼ']",,kek,1.3 million (2019 census)[1],"Alta Verapaz, Petén, Izabal, Baja Verapaz, El Quiché; Toledo; Campeche, Quintana Roo, Chiapas", Guatemala[2] Mexico,
Par%C3%A1_Ar%C3%A1ra_language,kema1243,https://en.wikipedia.org/wiki/Kemak_language,,,,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'Ramelaic', 'West', 'Kemak']",,kem,"72,000 (2010 census)[1]",East Timor,,East Timor
Par%C3%A1_Ar%C3%A1ra_language,keny1279,https://en.wikipedia.org/wiki/Kenyang_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Mamfe', 'Kenyang']","['Kitwii', 'Lower Kenyang', 'Upper Kenyang']",ken,"(65,000 cited 1992)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kakw1240title  Kakwa,https://en.wikipedia.org/wiki/Kakwa_language_(Africa),,,,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Southern Eastern', 'Nilotic', 'Eastern', 'Bari', 'Kakwa']",,keo,"510,000 (2014–2023)[1][2]",,,
Par%C3%A1_Ar%C3%A1ra_language,kaik1244,https://en.wikipedia.org/wiki/Kaikadi_language,,,,"['Dravidian', '\nSouthern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Tamil languages', 'Yerukula-Korava-Kaikadi', 'Kaikadi']",,kep,"25,870 (2011 census)[1]","Maharashtra, Madhya Pradesh",,
Par%C3%A1_Ar%C3%A1ra_language,kama1350,https://en.wikipedia.org/wiki/Kamar_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Halbic', '[2]', 'Kamar']",,keq,"40,000 (2003)[1]","Madhya Pradesh, Chhattisgarh",,
Par%C3%A1_Ar%C3%A1ra_language,kera1255,https://en.wikipedia.org/wiki/Kera_language,,,,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic A', 'Kwang', ' (A.3)', 'Kera']",,ker,"(50,000 cited 1993)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kugb1241,https://en.wikipedia.org/wiki/Kugbo_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Central Delta', 'Kugbo']",,kes,"(2,000 cited 1973)[1]",Rivers State,,
Par%C3%A1_Ar%C3%A1ra_language,kett1243,https://en.wikipedia.org/wiki/Ket_language,,,,"['Dené–Yeniseian', '?\n', 'Yeniseian', 'Northern Yeniseian', 'Ket']","['Northern', 'Central', 'Southern']",ket,153 (2020)[1],Krasnoyarsk Krai,,
Par%C3%A1_Ar%C3%A1ra_language,akeb1238,https://en.wikipedia.org/wiki/Kebu_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Kebu–Animere', 'Akebu']",,keu,"70,000 (2012)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kani1275,https://en.wikipedia.org/wiki/Kanikkaran_language,,,,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Kanikkaran']",,kev,"19,000 (2007)[1]","Tamil Nadu, Kanyakumari",,
Par%C3%A1_Ar%C3%A1ra_language,,https://en.wikipedia.org/wiki/Canarese_Konkani,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern Zone', 'Marathi–Konkani', 'Canarese Konkani']",,–,,"South Canara and North Canara of Carnataca, and Kassergode area of Kerala.",,"Karnataka, Kerala"
Par%C3%A1_Ar%C3%A1ra_language,kupi1238,https://en.wikipedia.org/wiki/Kupia_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Odia', 'Kupia']",,key,"6,600 (2007)[1]","Odisha, Andhra Pradesh",,
Par%C3%A1_Ar%C3%A1ra_language,kuke1242,https://en.wikipedia.org/wiki/Kukelle,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Upper Cross', 'Central', 'North–South', 'Koring–Kukele', 'Kele']",,kez,"180,000 to 200,000 (2011)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,koda1255,https://en.wikipedia.org/wiki/Kodava_language,,,,"['Dravidian', 'Southern Dravidian', '[2]', 'Tamil–Kannada', 'Tamil–Kodagu', 'Kodava']",,kfa,"113,857 (2011 census)[1]",Kodagu,,
Par%C3%A1_Ar%C3%A1ra_language,nort2699,https://en.wikipedia.org/wiki/Kolami_language,,,,"['Dravidian', '\nCentral', 'Kolami–Naiki', 'Kolami, kolava']",,Either:titlekfbtitle – Northwestern Kolamititlenittitle – titleSoutheastern Kolamititle (Naiki),"128,451, 54% of ethnic population (2011 census)[2]","Maharashtra, Telangana, Madhya Pradesh",,
Par%C3%A1_Ar%C3%A1ra_language,kond1295,https://en.wikipedia.org/wiki/Konda_language_(Dravidian),,,,"['Dravidian', '\nSouth-Central', 'Gondi-Kui', 'Konda-Kui', 'Konda']",,kfc,"61,000 (2011 census)[1]","Vizianagaram, Srikulam, East Godavari (Andhra Pradesh),
Koraput (Odisha)",,
Par%C3%A1_Ar%C3%A1ra_language,kota1263,https://en.wikipedia.org/wiki/Kota_language_(India),,,,"['Dravidian', '\nSouth Dravidian', 'South Dravidian I', 'Tamil–', 'Kannada', 'Tamil–Kota', 'Kota']",,kfe,930 (2001 census)[1],Nilgiri Hills,,
Par%C3%A1_Ar%C3%A1ra_language,koya1251,https://en.wikipedia.org/wiki/Koya_language,,,,"['Dravidian', '\nSouth-Central', 'Gondi–Kui', 'Gondi languages', 'Koya']",,kff,"455,000 (2011)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kudi1237,https://en.wikipedia.org/wiki/Kudiya_language,,,,"['Dravidian', '\nSouth Dravidian', 'South Dravidian I', 'Southwestern Dravidian', 'Kudiya–', 'Tulu', 'Kudiya']",,kfg,"2,800 (2007)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kuri1256,https://en.wikipedia.org/wiki/Kurichiya_language,,,,"['Dravidian', '\nSouthern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Kurichiya']","['Kunnam', 'Wayanad']",kfh,"29,000 (2004)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kann1253,https://en.wikipedia.org/wiki/Kurumba_language,,,,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Kurumba']",,kfi,,"Tamil Nadu, Karnataka, Kerala",,
Par%C3%A1_Ar%C3%A1ra_language,kinn1250,https://en.wikipedia.org/wiki/Kinnauri_language,,,,"['Sino-Tibetan', 'Tibeto-Kanauri', '\xa0?', 'West Himalayish', 'Kanauri', 'Kinnauri']",['Sunam'],Variously:titlekfktitle – Kinnauri propertitleciktitle – titleChitkuli Kinnaurititlessktitle – titleSunamtitle (Thebor)title[titlecitation neededtitle]titlejnatitle – titleJangshungtitle (Thebor)titlescutitle – titleShumchotitle (Thebor),"all Kinnauri varieties: 84,000;
  Kinnauri proper: about 45,000 (2011 census)[1]",Himachal Pradesh,,
Par%C3%A1_Ar%C3%A1ra_language,kung1260,https://en.wikipedia.org/wiki/Kung_language_(Cameroon),,,,"['Niger–Congo', '?\n', 'Atlantic–Congo languages', 'Benue–Congo languages', 'Southern Bantoid languages', 'Grassfields', 'Ring', 'Center', 'Kung']",,kfl,"The Nzonko dialect was spoken during the 2000s, but now probably extinct.
The Nkam dialect is originated from the frontier with Nigeria, today spoken a undated number of 12.

The Zoro dialect was discovered in 2003, now at least 1 person remember words of this dialect. (2019)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,khun1255,https://en.wikipedia.org/wiki/Khunsari_language,,,,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern II', 'Central Iranian Languages', 'Northwestern', 'Khansari']",,kfm,"21,000 (2000)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kukk1239,https://en.wikipedia.org/wiki/Kuk_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Ring', 'Center', 'Kuk']",,kfn,"(3,000 cited 1993)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,koda1256,https://en.wikipedia.org/wiki/Korwa_language,,,,"['Austroasiatic', 'Munda', 'North', 'Kherwarian', 'Mundaric', 'Korwa']",,Either:titleksztitle – Kodakutitlekfptitle – Korwa,"28,453 (2011 census)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kork1243,https://en.wikipedia.org/wiki/Korku_language,,,,"['Austroasiatic', 'Munda', 'North', 'Korku']",,kfq,"730,000 (2011 census)[1]","Central India (Madhya Pradesh, Maharashtra)",,
Par%C3%A1_Ar%C3%A1ra_language,kach1277,https://en.wikipedia.org/wiki/Kutchi_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Sindhic languages', 'Kutchi']",['Kutchi-Swahili'],kfr,"1,031,000 (in India) (2011)[2]",Kutch (India)Sindh (Pakistan)[a],,
Par%C3%A1_Ar%C3%A1ra_language,kanj1259,https://en.wikipedia.org/wiki/Kanjari_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'North-Western?', '(unclassified)', 'Kanjari']",,kft,"210,000 (2011)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,katk1238,https://en.wikipedia.org/wiki/Katkari_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern Zone', 'Marathi–Konkani', 'Katkari']",,kfu,"12,000 (2007)[2]","Maharashtra, Rajasthan, Gujarat",,
Par%C3%A1_Ar%C3%A1ra_language,kurm1243,https://en.wikipedia.org/wiki/Kurmukar_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Kurmukar']",,kfv,"3,000 (2000)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kull1236,https://en.wikipedia.org/wiki/Kullui,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northern', 'Western Pahari', 'Kullui']",,kfx,"196,295 (2011)[1]",Himachal Pradesh,,
Par%C3%A1_Ar%C3%A1ra_language,kuma1273,https://en.wikipedia.org/wiki/Kumaoni_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northern', 'Central Pahari', 'Kumaoni']",,kfy,2.2 million (2011 census)[3],Kumaon (India)Doti[1][2]  (Nepal),,
Par%C3%A1_Ar%C3%A1ra_language,koro1298,https://en.wikipedia.org/wiki/Koromfe_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Gur', 'Northern', 'Koromfé']","['Koromba', 'Fulse']",kfz,"200,000 (2001)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kome1238,https://en.wikipedia.org/wiki/Komering_language,,,,"['Austronesian', 'Malayo-Polynesian', 'Lampungic', 'Komering']",,kge,"470,000 (2000 census)[1]",South Sumatra,,
Par%C3%A1_Ar%C3%A1ra_language,kube1244,https://en.wikipedia.org/wiki/Tobo-Kube_language,,,,"['Trans–New Guinea', 'Finisterre–Huon', 'Huon', 'Eastern Huon', 'Kube-Tobo']",,Either:titlekgftitle – Kubetitletbvtitle – Tobo,"(7,500 Kube (2000 census), 2,230 Tobo cited 1980 census)[1]","Huon Peninsula, Morobe Province",,
Par%C3%A1_Ar%C3%A1ra_language,kusu1250,https://en.wikipedia.org/wiki/Kusunda_language,,,,['Language isolate'],,kgg,1 (2022)[1],"Gandaki Province, Lumbini Province",,
Par%C3%A1_Ar%C3%A1ra_language,boli1236,https://en.wikipedia.org/wiki/Selangor_Sign_Language,,,,"['French Sign', 'American Sign', 'Bolivian Sign Language']",,bvl,"22,600 (2008)[2]",,,
Par%C3%A1_Ar%C3%A1ra_language,kaiw1246,https://en.wikipedia.org/wiki/Kaiw%C3%A1_language,,,,"['Tupian', 'Tupí–Guaraní', 'Guaraní (I)', 'Kaiwá']",,kgk,"18,000 (2003)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,pali1279,https://en.wikipedia.org/wiki/Karipuna_language_(Amap%C3%A1),,,,"['Arawakan', '\nNorthern', 'Palikuran', 'Palikúr']",,plu,"1,500 (2000–2010)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kari1303,https://en.wikipedia.org/wiki/Karingani_language,,,,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern II', 'Tatic', 'Karingani']","['Karingani', 'Kalasuri-Khoynarudi']",kgn,"22,000 (2019)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,kron1241,https://en.wikipedia.org/wiki/Krongo_language,,,,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Kadu', 'Eastern', 'Krongo']",,kgo,"49,000 (2017)[1]",Kordofan,,
Par%C3%A1_Ar%C3%A1ra_language,kain1271,https://en.wikipedia.org/wiki/Kaingang_language,,,,"['Macro-Jê', 'Jê', 'Jê of Paraná', 'Southern Jê', 'Kaingang']",,Either:titlekgptitle – Kaingangtitlezkptitle – São Paulo Kaingáng,"(18,000 cited 1989)[1]","São Paulo, Santa Catarina, Paraná, Rio Grande do Sul",,
Par%C3%A1_Ar%C3%A1ra_language,kamo1255,https://en.wikipedia.org/wiki/Kamoro_language,,,,"['Trans–New Guinea', 'Asmat–Kamoro', 'Kamoro']",,kgq,"(8,000 cited 1987)[1]","Mimika Regency, Central Papua",,
Par%C3%A1_Ar%C3%A1ra_language,abun1252,https://en.wikipedia.org/wiki/Abun_language,,,,"['West Papuan', ' or ', 'language isolate', ""\nWest–Central Bird's Head"", 'Abun']","['Abun Tat (Karon Pantai)', 'Abun Ji (Madik)', 'Abun Je']",kgr,"(3,000 cited 1995)[1]","Tambrauw Regency, Bird's Head Peninsula: Ayamaru, Moraid, and Sausapor sub-districts - about 20 villages",,
Par%C3%A1_Ar%C3%A1ra_language,kumb1268,https://en.wikipedia.org/wiki/Kumbainggar_language,,,,"['Pama–Nyungan', 'Gumbaynggiric', 'Gumbaynggirr']","['Gumbaynggirr', 'Nymboidan', 'Gambalamam', 'Baanbay', '? Ngambaa', '[2]']",kgs,310 (2021 census)[1](may include L2 speakers),"New South Wales, Australia",,
Par%C3%A1_Ar%C3%A1ra_language,somy1238,https://en.wikipedia.org/wiki/Somyev_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Mambiloid', 'Mambila–Konja', 'Mambila–Vute', 'Kamkam languages', 'Somyev']",,kgt,15 (2000)[1],,,
Par%C3%A1_Ar%C3%A1ra_language,kobo1248,https://en.wikipedia.org/wiki/Kobol_language,,,,"['Trans–New Guinea', '?\n', 'Madang', 'Croisilles', 'Omosan', 'Kobol']",,kgu,720 (2000 census)[1],"Madang Province, Papua New Guinea",,
Par%C3%A1_Ar%C3%A1ra_language,kara1499,https://en.wikipedia.org/wiki/Karas_language,,,,"['Trans–New Guinea', '\nBerau Gulf', 'West Bomberai', 'Kalamang']",,kgv,100 (2000)[1],West Papua,,
Par%C3%A1_Ar%C3%A1ra_language,maib1239,https://en.wikipedia.org/wiki/Karon_Dori_language,,,,"['? ', 'Language isolate', ', or', '? ', ""Bird's Head"", 'Maybrat']","['Mayhapeh', 'Maymaru', 'Mayasmaun', 'Maymare', 'Mayte', 'Karon Dori']",Either:titleayztitle – Mai Brattitlekgwtitle – Karon Dori,"(25,000 cited 1987)[1]","Maybrat Regency, Southwest Papua",,
Par%C3%A1_Ar%C3%A1ra_language,kama1364,https://en.wikipedia.org/wiki/Kamaru_language,,,,"['Austronesian', 'Malayo-Polynesian', 'Celebic', 'Wotu–Wolio', 'Wolio', '–Kamaru', 'Kamaru']",,kgx,"3,500 (2004)[1]",Sulawesi,,
Par%C3%A1_Ar%C3%A1ra_language,khas1269,https://en.wikipedia.org/wiki/Khasi_language,,,,"['Austroasiatic', 'Khasi-Palaungic', 'Khasic', 'Khasi-Pnar-Lyngngam', 'Khasi']",,kha,1 million (2011 census)[1],Meghalaya,,
Par%C3%A1_Ar%C3%A1ra_language,luuu1242,https://en.wikipedia.org/wiki/Tai_Lue_language,,,,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Chiang Saen', 'Tai Lue']",,khb,"550,000 (2000–2013)[1]","Yunnan, China",, China Laos Thailand Myanmar Vietnam
Par%C3%A1_Ar%C3%A1ra_language,koro1312,https://en.wikipedia.org/wiki/Korowai_language,,,,"['Trans-New Guinea', '\nAsmat-Awyu-Ok', 'Greater Awyu', 'Becking-Dawi', 'Korowai']",,khe,"3,500 (2007)[1]","Becking River, South Papua, Indonesia",,
Par%C3%A1_Ar%C3%A1ra_language,kham1299,https://en.wikipedia.org/wiki/Khams_Tibetan,,,,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Khams Tibetan']",,Variously:titlekhgtitle – Khamstitlekbgtitle – titleKhambatitletsktitle – titleTseku,2 million (2022)[1],"Khams (Tibet Autonomous Region, Qinghai, Sichuan, Yunnan in China)Bhutan",,
Par%C3%A1_Ar%C3%A1ra_language,kehu1238,https://en.wikipedia.org/wiki/Keuw_language,,,,"['Lakes Plain', '?\n', '\nWapoga', 'Keuw']",,khh,200 (2007)[1],"Wapoga River, in the foothills inland from Cenderawasih Bay: Wapoga District, Nabire Regency, Papua province",,
Par%C3%A1_Ar%C3%A1ra_language,kutu1262,https://en.wikipedia.org/wiki/Kuturmi_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Central', '\xa0?', 'North Plateau', '\xa0?', 'Kuturmi']",,khj,"10,500 (2000)[1]",Kaduna State,,
Par%C3%A1_Ar%C3%A1ra_language,halh1238,https://en.wikipedia.org/wiki/Khalkha_Mongolian,,,,"['Mongolic', '\nCentral Mongolic', 'Buryat', '–', 'Mongolian', 'Mongolian', 'Khalkha']",,khk,"3,000,000 (2010 census)[1]",Mongolia,,
Par%C3%A1_Ar%C3%A1ra_language,lusi1240,https://en.wikipedia.org/wiki/Lusi_language,,,,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Ngero–Vitiaz', 'Ngero', 'Bariai', 'Lusi']",['Kaliai'],khl,"(2,000 cited 1994)[1]",New Britain,,
Par%C3%A1_Ar%C3%A1ra_language,khme1253title  Khmerictitlecent1989title  Central Khmer,https://en.wikipedia.org/wiki/Khmer_language,,,,"['Austroasiatic', 'Khmer']",,Either:titlekhmtitle – Khmertitlekxmtitle – titleNorthern Khmer,,, Cambodia, Thailand Vietnam
Par%C3%A1_Ar%C3%A1ra_language,khan1272,https://en.wikipedia.org/wiki/Khandeshi_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western', '[2]', 'Khandeshi']",,Either:titlekhntitle – Khandeshititleahrtitle – Ahirani (duplicate code),1.86 million (2011 census)[1],Khandesh,,
Par%C3%A1_Ar%C3%A1ra_language,saka1298,https://en.wikipedia.org/wiki/Saka_language,,,,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Eastern Iranian', 'Scythian', 'Saka']","['Khotanese', 'Tumshuqese', 'Kanchaki?']",Either:titlekhotitle – Khotanesetitlextqtitle – Tumshuqese,,"Tarim Basin (Xinjiang, China)",,
Par%C3%A1_Ar%C3%A1ra_language,kapo1250,https://en.wikipedia.org/wiki/Kapori_language,,,,"['Foja Range', 'Kwerbic', 'Kapauri–Sause', 'Kapori']",,khp,200 (2006)[1],"Papua: Pagai village, Kamikaru and Magri hamlets on north bank of upper Idenburg River",,
Par%C3%A1_Ar%C3%A1ra_language,koyr1240,https://en.wikipedia.org/wiki/Koyra_Chiini_language,,,,"['Nilo-Saharan', '?\n', 'Songhay', 'Southern', 'Koyra Chiini']","['Djenné Chiini', 'Koyra Chiini']",khq,"(200,000 cited 1999)[1]",Niger River,,
Par%C3%A1_Ar%C3%A1ra_language,khar1287,https://en.wikipedia.org/wiki/Kharia_language,,,,"['Austroasiatic', 'Munda', 'South', 'Kharia']",,khr,"297,614, 69% of ethnic population (2011 census)[1]","India (Jharkhand, Chhattisgarh, Odisha)."," India
Jharkhand (additional)
",
Par%C3%A1_Ar%C3%A1ra_language,kasu1251,https://en.wikipedia.org/wiki/Kasua_language,,,,"['Trans–New Guinea', 'Bosavi', 'Kaluli–Kasua', 'Kasua']",,khs,(600 cited 1990)[1],Papua New Guinea,,
Par%C3%A1_Ar%C3%A1ra_language,kham1290,https://en.wikipedia.org/wiki/Khamti_language,,,,"['Kra–Dai', 'Tai', 'Southwestern', 'Northwestern', 'Khamti']",,kht,"13,000 (2000–2007)[1]","Burma, India",,
Par%C3%A1_Ar%C3%A1ra_language,nkhu1238,https://en.wikipedia.org/wiki/Nkumbi_language,,,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Kavango–Southwest', 'Southwest Bantu', 'Nkumbi']",,khu,"(150,000 cited 1996)[1]",,,
Par%C3%A1_Ar%C3%A1ra_language,khva1239,https://en.wikipedia.org/wiki/Khwarshi_language,,,,"['Northeast Caucasian', 'Tsezic', 'Bezhta–Hunzib–Khwarshi', '[4]', 'Khwarshi']",,khv,"1,700 (2010 census)[3]",Southwestern Dagestan[1][2],,
Par%C3%A1_Ar%C3%A1ra_language,khow1242,https://en.wikipedia.org/wiki/Khowar_language,,,,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Chitrali', 'Khowar']",,khw,"580,000 (2020)[1]",Chitral District,,
