,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
652,Armenia,,,,,,,
653,Hainanese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Qiong–', 'Lei', 'Hainanese']","['Haikou', 'Wenchang', 'Qionghai', 'Wanning', 'Lingshui', 'Sanya']",(hnm is proposed[5]),Around 5 million in China (2002)[1],Hainan,,
654,Corrientes_Province,,,,,,,
655,Hardap_Region,,,,,,,
656,Armenian_language,"['Indo-European', 'Armenian']","['Yerevan', 'Homshetsi', 'Karabakh', 'Karin', 'Mush', 'Kharberd–Yerznka', 'Shabin–Karahisar', 'Kakavaberd', 'Zok']",Variously:hye – Eastern Armenianhyw – Western Armenianxcl – Classical Armenianaxm – Middle Armenian,5.3 million[a] (2013–2021)[1],,"
 Armenia
Organisations:
 Eurasian Economic Union[b]
", Cyprus[5][6] Hungary[7] Iraq[8] Poland[9][10] Romania[11] Turkey[12][13][14][15] Ukraine[16]
657,Italy,,,,,,,
658,Botswana,,,,,,,
659,Democratic_Republic_of_Timor-Leste,,,,,,,
660,Mali_I%C4%91o%C5%A1,,,,,,,
661,State_of_California,,,,,,,
662,Livonian_language,"['Uralic', 'Finno-Ugric', 'Finnic', 'Southern Finnic', 'Livonian']","['Courland', 'Salaca', ' ', '†', '[5]']",liv,,Livonian Coast,,Latvia[6]
663,Pridnestrovian_Moldavian_Republic,,,,,,,
664,Crow_people,,,,,,,
665,Fujian,,,,,,,
666,Swahili_language,"['Niger–Congo', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Northeast Bantu', 'Northeast Coast Bantu', 'Sabaki', 'Swahili']","['Bravanese', 'Bajuni', 'Makwe', 'Mwani', 'Sidi', 'Socotra', ' ', '†']",swa – inclusive codeIndividual codes:swc – Congo Swahiliswh – Coastal Swahiliymk – Makwe (?)wmw – Mwani (?),L1: 5.3 million (2019–2023)[2] L2: 83 million (2019–2023)[2],,"
4 countries
  Tanzania
  Rwanda
  Kenya
  Uganda



Organizations
  African Union
  East African Community
  Southern African Development Community[4]

","
 Burundi
 DR Congo
 Mozambique
"
667,Lisu_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Loloish', 'Lisoish', 'Lisu–Lalo', 'Lisu']",,lis,"c. 940,000 (2000–2007)[1]",,"Weixi Lisu Autonomous County, Nujiang Lisu Autonomous Prefecture (PRC)",
668,Northern_Cyprus,,,,,,,
669,Serbo-Croatian,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western South Slavic', 'Serbo-Croatian']","['Dialects of Serbo-Croatian', ':', 'Shtokavian', ' (standard)', 'Torlakian', 'Chakavian', 'Kajkavian']",hbs – inclusive codeIndividual codes:bos – Bosniancnr – Montenegrinhrv – Croatiansrp – Serbian  Related codes:svm – Slavomolisanockm – Chakaviankjv – Kajkavian,18 million (2011–2021)[1],,"
Serbia (as Serbian)
Croatia (as Croatian)
Bosnia and Herzegovina (as Bosnian, Croatian, Serbian)
Montenegro (as Montenegrin)
Kosovo (as Serbian)[2]
European Union (as Croatian)
","
Austria (Burgenland)[3]
Hungary[4][1]
Italy (Molise)[5]
Romania[6][1] (in Carașova, Lupac)[citation needed]
Slovakia[7]
Czech Republic[8]
North Macedonia[9]
"
670,Federal_Republic_of_Germany,,,,,,,
671,Chechen_Republic,,,,,,,
672,T%C3%BCbatulabal_language,"['Uto-Aztecan', 'Tübatulabal']",,tub,,"Kern River, California, United States",,
673,Pattani_Malay,"['Austronesian', 'Malayo-Polynesian', 'Malayic', 'Kelantan-Pattani Malay']",,mfa  Pattani,1.5 million in Thailand (2010)[1]2 million in Malaysia[citation needed],"Malaysia:KelantanMerapoh, PahangBesut and Setiu, TerengganuBaling, Sik and Padang Terap, KedahHulu Perak (Pengkalan Hulu and Grik), PerakThailand:Patani region, Songkhla Province (Sabayoi, Chana, Nathawi, Thepha), Minburi area (Min Buri), Lat Krabang, Khlongsamwa, Nong Chok)",, Thailand
674,Interslavic,,,–  (isv is proposed),,,,
675,Pampanga,,,,,Central Luzon,,
676,Hiri_Motu,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Papuan Tip', 'Central', 'Sinagoro–Keapar', 'Motu', 'Hiri Motu']",,hmo,"(Very few cited 1992)[1]100,000 L2 speakers (2021)[1]",Papua New Guinea,Papua New Guinea,
677,Mauritania,,,,,,,
678,States_and_union_territories_of_India,,,,,,,
679,Laos,,,,,,,
680,Malagasy_language,"['Austronesian', 'Malayo-Polynesian', 'Western Indonesian', 'Barito', 'East Barito', 'Malagasy']",,mlg – inclusive codeIndividual codes:xmv – Antankaranabhr – Barabuc – Bushimsh – Masikorobmm – Northern Betsimisarakaplt – Plateau Malagasyskg – Sakalavabzc – Southern Betsimisarakatdx – Tandroy-Mafahalytxy – Tanosytkg – Tesakaxmw – Tsimihety,25 million (2015)[1],, Madagascar,
681,Kazakhstan,,,,,,,
682,Egyptian_Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Egyptian Arabic']","['Judeo-Egyptian Arabic', 'Other regional variations']",arz,L1: 78 million (2021)[1]L2: 25 million (2022)[2],,,
683,Belarusian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'East Slavic', 'Belarusian']",,bel,5.1 million[1] (2009 census)1.3 million L2 speakers (2009 census)[1],," Belarus Poland (in Gmina Orla, Gmina Narewka, Gmina Czyże, Gmina Hajnówka and the town of  Hajnówka)
Union State
Collective Security Treaty Organization
", Czech Republic[2] Ukraine[3]
684,Namibia,,,,,,,
685,Grenada,,,,,,,
686,Cook_Islands_M%C4%81ori,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Polynesian', 'Eastern Polynesian', 'Tahitic', 'Cook Islands Māori']",,Variously:rar – Rarotongapnh – Tongareva (Penrhyn)rkh – Rakahanga-Manihiki,"13,620 in Cook Islands, 96% of ethnic population (2011 census)[1]7,725 in New Zealand, 12% of ethnic population (2013) [2]",Polynesia, Cook Islands,
687,Abkhazia,,,,,,,
688,Chitral_District,,,,,,,
689,Terengganu_Malay,"['Austronesian', 'Malayo-Polynesian', '(disputed)', 'Malayic', 'Terengganu Malay']","['Coastal Terengganu ', ' Inland Terengganu']",-,1.1 million (2010)[citation needed],"Terengganu, Mersing and Tanjung Sedili (Johor), Kuantan (Pahang)",,
690,Somalia,,,,,,,
691,Venetian_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', '(unclassified)', 'Venetian']","['Fiuman', 'Talian', 'Triestine', 'Chiplo']",vec,3.9 million (2002)[5],"
Veneto[1][2]
Friuli-Venezia Giulia[1][2]
Trentino[1][2]
Istria County[3][4]
Coastal–Karst[3][4]
",,"
 Italy
→  Veneto
 Brazil (Talian dialect)[6]
→  Rio Grande do Sul
→  Santa Catarina
→  São Paulo
→  Minas Gerais
→  Espírito Santo
 Mexico (Chipilo)
→  Querétaro
→  Veracruz
→  Puebla
"
692,Buryatia,,,,,,,
693,Republic_of_Suriname,,,,,,,
694,Provinces_of_Pakistan,,,,,,,
695,Croatia,,,,,,,
696,%C7%82Akhoe_dialect,"['Khoe–Kwadi', 'Khoe', 'Khoekhoe', 'Khoekhoegowab', 'ǂAakhoe']",,hgm  (Haiǁom),"52,000 (2003–2016)[1]","Etosha pan, Kavango, Mangetti Dune, Omataku, Grootfontein, Baghani, Tsintsabis and Maroelaboom",,
697,Venda_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Southern Bantu', 'TshiVenda']","['Guvhu', 'Ilafuri', 'Lembetu', 'Manda', 'Mbedzi', 'Phani', 'Tavha-Tsindi']",ven,1.3 million (2011 census)[1]1.7 million L2 speakers in South Africa (2002)[2],Limpopo, Zimbabwe South Africa,
698,Republic_of_the_Union_of_Myanmar,,,,,,,
699,Teochew_dialect,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Southern Min', 'Chaoshan Min', 'Teochew']",,(tws is proposed[1]),,"Eastern Guangdong (Chaozhou), Southern Fujian (Zhao'an), Thailand, Southern Vietnam and Cambodia, Indonesia (Jambi and West Kalimantan)"," China
Chaoshan
",
700,Lim%C3%B3n_Province,,,,,,,
701,Republic_of_South_Africa,,,,,,,
702,Manchu_people,,,,,,,
703,Abellen_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Abellen']",,abp,"3,000 (2008)[2]",Tarlac,,
704,Marshallese_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Micronesian', 'Micronesian Proper', 'Nuclear Micronesian', 'Marshallese']",,mah,"(55,000 cited 1979)[2]",, Marshall Islands,
705,Scotland,,,,,,,
706,Luba-Kasai_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Luban', 'Luba languages', 'Tshiluba']","['Ciluba-Lubilanji /Cena-Lubilanji (in Mbuji-Mayi, Tshilenge district, and western Gandajika territory)', 'Cena-Lulua (in Kananga, central-northern Lulua district, and eastern Luebo territory)', 'Cikwa-Nyambi (in Northern Kamonia territory & Tshikapa)', 'Cikwa-Luntu (in Dimbelenge territory)']",lua,(6.4 million Cilubaphones cited 1991)[2],"Kasai
Kasai-Occidental
Kasai-Oriental
", Democratic Republic of Congo (national language),
707,Akanland,,,,,,,
708,Tai_Dam_language,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Chiang Saen', 'Tai Dam']",,blt,"(760,000 cited 1995–2002)[1]",,, Vietnam Thailand
709,Yanbian_Korean_Autonomous_Prefecture,,,,,,,
710,Hindustani_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Western Hindi', 'Hindustani']","['Deccani', 'Hyderabadi', 'Dhakaiya', 'Rekhta', 'Kauravi', 'Bambaiya', 'Bihari Hindi', '[a]', 'Andaman', 'Haflong', 'Judeo-Urdu']",Either:hin – Hindiurd – Urdu,L1 speakers: c. 250 million (2011 & 2017 censuses)[2]L2 speakers: ~500 million (1999–2016)[2],"Western UP/Delhi (North India),Deccan (South India),Pakistan[1]","
 India (as Hindi and Urdu)
 Pakistan  (as Urdu)
",
711,Madurese_language,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', ' (?)', 'Madurese']","['Bawean', 'Bangkalan', 'Pamekasan', 'Sampang', 'Sapudi', 'Sumenep']",mad – Standard Madurese,10-13.6 million (2008)[1],"Island of Madura, Sapudi Islands, Java, Singapore and Malaysia (as Boyanese)",,"Indonesia
East Java
"
712,Virginia,,,,,,,
713,Native_Americans_in_the_United_States,,,,,,,
714,Kildin_S%C3%A1mi,"['Uralic', 'Sámi', 'Eastern', 'Peninsula', 'Kildin Sámi']",,sjd,c. 341 (primarily Kildin) (2020 census)[1],Kola Peninsula (Murmansk Oblast),,
715,Autonomous_Province_of_Vojvodina,,,,,,,
716,Danish_language,"['Indo-European', 'Germanic', 'Northwest Germanic', '[3]', 'North Germanic', 'East Scandinavian', '[4]', 'Danish']","['Jutlandic', 'Insular', 'Dano-Faroese', 'Southern Schleswig', 'Perkerdansk', 'Dano-Norwegian', ' ', '†', 'Angel', ' ', '†', 'East Danish', 'South Jutlandic']",Either:dan – Insular Danishjut – Jutlandic,6.0 million (2019)[2],"Denmark, Schleswig-Holstein (Germany);Additionally in the Faroe Islands and Greenland"," Kingdom of Denmark
 Denmark
 Faroe Islands
 Nordic Council

 European Union", Greenland Germany
717,Xukuru_language,"['Xukuruan', '?']",,xoo,,Pernambuco,,
718,Cahuarano_language,"['Zaparoan', '\nIquito–Cahuarano', 'Cahuarano']",,cah,,,,
719,Republic_of_Chad,,,,,,,
720,Johann_Martin_Schleyer,,,,,,,
721,Sierra_Leone,,,,,,,
722,Ido,,,ido,,,,
723,Click_language,,,,,,,
724,Uzbekistan,,,,,,,
725,Tangerang,,,,,,,
726,Andhra_Pradesh,,,,,South India,,
727,Provinces_of_Panama,,,,,,,
728,Big_Nambas,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'Central Vanuatu', 'Malakula', 'Malakula Interior', 'Big Nambas']",,nmb,"3,400 (2001)[1]",Northwest Malekula,,
729,Awjila_language,"['Afro-Asiatic', 'Berber', 'Eastern', 'Awjila Berber language']",,auj,"2,700 (2020)[1]",Cyrenaica,,
730,Hebrew,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Northwest Semitic', 'Canaanite', 'Hebrew']","['Israelian Hebrew', ' ', '†']",Variously:heb – Modern Hebrewhbo – Classical Hebrew (liturgical)smp – Samaritan Hebrew (liturgical)obm – Moabite (extinct)xdm – Edomite (extinct),,Land of Israel,Israel (as Modern Hebrew)[6],"Poland[7]
South Africa[8]
Turkey[9][10][11][12][13]
"
731,Cahto_language,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Pacific Coast Athabaskan', 'California Athabaskan', 'Kato']",,ktw,,California (Eel River),,
732,Bassa_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kru', 'Western', 'Bassa', 'Bassa']",,bsq,"410,000 (2006)[1]",,,
733,Gujarati_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western', '[2]', 'Gujarati languages', 'Gujarati']",,guj,L1: 57 million (2011 census)[1]L2: 5.0 million (2011 census)[1]  Total: 62 million[1],"Gujarat (India)
Karachi (Pakistan)"," India
Gujarat
Dadra and Nagar Haveli and Daman and Diu (additional)
"," South Africa (protected language)[3]
England & Wales[4]"
734,Xiri%C3%A2na,"['Arawakan', '\nNorthern', 'Upper Amazonian', 'Manao?', 'Shiriana']",,xir,,,,
735,Pomerode,,,,,South,,
736,Cayuga_people,,,,,,,
737,Runes,,,,,,,
738,Quinqui_language,['Cant'],,quq,,Edges of towns,,
739,Achumawi_language,"['Hokan', '\xa0?\n', 'Shasta', '–Palaihnihan\xa0?', 'Palaihnihan', 'Achumawi']",,acv,,,,
740,Egypt,,,,,,,
741,Sweden,,,,,,,
742,Bali,,,,,,,
743,Punjabi_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Punjabi']","['See', ' ', 'Punjabi dialects']",Either:pan – Panjabipnb – Western Panjabi,113 million (2011–2017)[a][1],Punjab," Pakistan
 Punjab[c][11]
 India

Punjab (official)[12][13]
Haryana (additional)[14]
Delhi (additional)[15]
West Bengal (additional, in blocks and divisions with more than 10% of the population)[16]
",
744,United_Nations,,,,,,,
745,Angloromani,"['Mixed', ' British ', 'Romani', '–', 'English']",,rme,,,,
746,Lepcha_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Himalayish', 'Lepcha']",,lep,"66,500 (2011-2013)[1][2]","Sikkim, India; parts of Nepal and Bhutan"," India
Sikkim
",
747,Latvia,,,,,,,
748,Yue_Chinese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Yue']","['Yuehai', ' (incl. ', 'Cantonese', ')', 'Siyi', ' (incl. ', 'Taishanese', ')', 'Gao–Yang', 'Yong–Xun', 'Gou–Lou', 'Qin–Lian', 'Wu–Hua', 'Luo–Guang']",yue,86 million (2022)[1],"Guangdong, Guangxi, western Hainan, Hong Kong and Macau",,
749,Piedmont,,,,,,,
750,Nunavik,,,,,Nord-du-Québec,,
751,Hebrew_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Northwest Semitic', 'Canaanite', 'Hebrew']","['Israelian Hebrew', ' ', '†']",Variously:heb – Modern Hebrewhbo – Classical Hebrew (liturgical)smp – Samaritan Hebrew (liturgical)obm – Moabite (extinct)xdm – Edomite (extinct),,Land of Israel,Israel (as Modern Hebrew)[6],"Poland[7]
South Africa[8]
Turkey[9][10][11][12][13]
"
752,Poland,,,,,,,
753,Luo_dialect,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Nilotic', 'Western Nilotic', 'Luo', 'Southern Luo', 'Adhola', '–', 'Alur', '–Luo', 'Adhola', '–Luo', 'Luo']",,luo,4.2 million (2009 census)[1],Nyanza province of Kenya and Mara Region of Tanzania,,
754,Omotik_language,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Nilotic', 'Southern Nilotic', 'Omotik-', 'Datooga', 'Omotik']",,omt,(50 older adults cited 1980)[1],"Great Rift Valley, Kenya",,
755,Aleut_language,"['Eskaleut', 'Aleut']",,ale,<80 (2022)[1]in Alaska; extinct in Russia 2021,, Alaska[2],
756,Koryak_language,"['Chukotko-Kamchatkan', 'Chukotkan', 'Koryak']",['Chavchuven Koryak'],kpy,"1665, 21% of ethnic population (2010 census)[1]",Koryak Okrug,,
757,Oklahoma,,,,,,,
758,Chuvashia,,,,,,,
759,Tahitian_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Polynesian', 'Eastern Polynesian', 'Tahitic', 'Tahitian']",,tah,"68,260, 37% of ethnic population (2007 census)[1]",,, French Polynesia
760,Morobe_Province,,,,,,,
761,Republic_of_Croatia,,,,,,,
762,Apulia,,,,,,,
763,Chamorro_language,"['Austronesian', 'Malayo-Polynesian', 'Chamoru']",,cha,"58,000 (2005–2015)[1]",, Guam   Northern Mariana Islands,
764,New_Zealand_Sign_Language,"['BANZSL', 'New Zealand Sign Language']",,nzs,"23,000 (2018 census)[1]",,New Zealand,
765,Evenki_language,"['Tungusic', '\nNorthern', 'Ewenic', 'Evenki group', 'Evenki']",,evn,"16,000 (2007–2010)[2]",Inner Mongolia and Heilongjiang in China; Krasnoyarsk Krai in Russia,,
766,Republic_of_the_Sudan,,,,,,,
767,Susuami_language,"['Trans–New Guinea', 'Angan', 'Northeast', 'Susuami']",,ssu,10 (2000)[1],"Upper Watut valley, Morobe Province",,
768,Banten,,,,,,,
769,Bulgaria,,,,,,,
770,Amazonas_(Brazilian_state),,,,,,,
771,Korean_language,"['Koreanic', 'Korean']","['see ', 'Korean dialects']",kor,82 million (2020)[2],, South Korea North Korea, China (Yanbian Prefecture and Changbai County)
772,Inuktitut,"['Eskaleut', 'Eskimo', 'Inuit', 'Inuktitut']","['Qikiqtaaluk nigiani', ' (South Baffin)', 'Nunavimmiutitut', ' (Quebec)', 'Inuttitut', ' (Labrador)', 'Inuktun', ' (Thule)']",iku – inclusive code InuktitutIndividual codes:ike – Eastern Canadian Inuktitutikt – Inuinnaqtun,"L1: 38,000 (2021 census)[1]L1 + L2: 42,000 (2021 census)[2]","Northwest Territories, Nunatsiavut (Newfoundland and Labrador), Nunavik (Quebec), Nunavut",NunavutNorthwest Territories,Quebec (Nunavik)Newfoundland and Labrador (Nunatsiavut)Yukon (Inuvialuit Settlement Region)
773,Chakma_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Chakma']",,ccp,"150,000 in Bangladesh (2007)[1]228,000 in India (2011)[1]","Chittagong Hill TractsCADC, MizoramTripuraArunachal Pradesh",,
774,Burgenland,,,,,,,
775,New_Caledonia,,,,,,,
776,Khakas_language,"['Turkic', 'Common Turkic', 'Siberian Turkic', '[2]', 'South Siberian', 'Yenisei Turkic', '[3]', 'Khakas']",['Fuyu Kyrgyz'],kjh,"43,000 (2010 census)[1]",Khakassia, Russia Khakassia,
777,Malay_language,"['Austronesian', 'Malayo-Polynesian', 'Malayic', 'Malay']",,msa – inclusive codeIndividual codes:zlm – Malay (individual language)ind – Indonesianzsm – Standard Malayabs – Ambon Malaymbf – Baba Malaypea – Baba Indonesianmhp – Balinese Malaybjn – Banjaresemfb – Bangkabtj – Bacanbew – Betawibve – Beraukxd – Brunei Malayccm – Chetty Malaycoa – Cocos Malayliw – Colgoq – Goraphji – Hajijax – Jambi Malayvkk – Kaurmeo – Kedah Malaymfa – Kelantan-Pattani Malaykvr – Kerincimqg – Kota Bangun Kutaimkn – Kupang Malaymfp – Makassar Malayxmm – Manado Malaymin – Minangkabaumui – Musizmi – Negeri Sembilan,L1: 82 million (2004–2010)[2]Total (L1 and L2): 200–290 million (2009)[3],,"
 Brunei
 Indonesia (as Indonesian)
 Malaysia
 Singapore

 UNESCO (as Indonesian)[7]
"," Indonesia(beside the national standard of Indonesian, Local Malay enjoys the status of a regional language in Sumatra and Kalimantan (Borneo)) East Timor (beside Dili Malay, Indonesian used as a working language and a trade language with Indonesia)[8]
 Thailand (as Pattani Malay, Syburi Malay, and Bangkok Malay)"
778,Departments_of_El_Salvador,,,,,,,
779,Amdang_language,"['Nilo-Saharan', '?\n', 'Fur', 'Amdang']","['Kouchane', 'Sounta', 'Yaouada', 'Tere']",amj,"170,000 (2024)[1]","Mainly Biltine, Wadi Fira",,
780,Odisha,,,,,East India,,
781,Ojibwe_people,,,,,,,
782,Angola,,,,,,,
783,Bocas_del_Toro_Province,,,,,,,
784,Yap,,,,,,,
785,Louisiana,,,,,,,
786,Sotho_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Southern Bantu', 'Sotho–Tswana', 'Sotho']","['Phuthi', 'Taung']",sot,5.6 million (2001–2011)[1]7.9 million L2 speakers in South Africa (2002)[2],,"
 Lesotho
 South Africa
 Zimbabwe
",
787,Lupac,,,,,,,
788,Google,,,,,,,
789,Roman_Empire,,,,,,,
790,Iroquois_people,,,,,,,
791,Sark,,,,,,,
792,Spanish_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Ibero-Romance', 'West Iberian', 'Castilian', '[2]', '[3]', 'Spanish']",,spa,Native: 500 million (2023)[1]Total: 600 million[1]100 million speakers with limited capacity (23 million students)[1],,"
20
countries
Argentina
Bolivia
Chile
Colombia
Costa Rica
Cuba
Dominican Republic
Ecuador
El Salvador
Equatorial Guinea
Guatemala
Honduras
Mexico
Nicaragua
Panama
Paraguay
Peru
Spain
Uruguay
Venezuela



Dependent territories
Puerto Rico



Partially recognized country
Sahrawi Arab Democratic Republic



Significant minority
Andorra
Belize
Gibraltar
United States



Internationalorganizations
 African Union
 Association of Caribbean States
 Caribbean Community
 CELAC
 European Union
 ALADI
 Latin American Parliament
 Mercosur
 OSCE
 Organization of American States
 United Nations
 Union of South American Nations
 Organization of Ibero-American States

",
793,Inari_S%C3%A1mi_language,"['Uralic', 'Sámi', 'Eastern', 'Inari Sámi']",,smn,400 (2018 census)[1],,,Finland[2]
794,Sudan,,,,,,,
795,Jiangsu,,,,,,,
796,Chechen_language,"['Northeast Caucasian', 'Nakh', 'Vainakh', 'Chechen-Ingush', 'Chechen']","['Akkin', 'Shatoi', 'Melkhin', 'Kistin', 'Cheberloi', 'Ploskost']",che,1.8 million (2020)[1],"Chechnya, Ingushetia and Dagestan"," Russia
 Chechnya
 Dagestan
",
797,Tunisian_Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Tunisian Arabic']",,aeb,12 million (2021)[2],,,As a variety of Maghrebi Arabic on 7 May 1999 (Not ratified due to several Constitutional Matters):[3][4]
798,Heilongjiang,,,,,,,
799,Republic_of_Kazakhstan,,,,,,,
800,Northern_Kurdish,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern', 'Kurdish', 'Kurmanji']","['Botani (Boti)', 'Marashi', 'Ashiti', 'Bayezidi', 'Hekari', 'Shemdinani', 'Badini', 'Shikaki', 'Silivi', 'Mihemedi', '[1]']",kmr,16 million (2021–2023)[2],"Autochthonous to Kurdistan, Kurdish diaspora[1]","
 Kurdistan Region[1]
 Rojava[3][4]
", Armenia[1]
801,Tigrinya_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'North', 'Tigrinya']",,tir,9.7 million (2022)[1],, Eritrea Ethiopia,
802,Macedonian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Macedonian']",['Macedonian dialects'],mkd,(1.4–3.5 million cited 1999–2011)[1][2],Balkans, North Macedonia,"
 Albania
 Bosnia and Herzegovina[3]
 Romania[4]
 Serbia[5]
"
803,Assam,,,,,Northeast India,,
804,Tibet,,,,,,,
805,Lingala,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone C', ')', 'Bangi–Ntomba', ' (C.30)', 'Bangi–Moi', 'Bangi', 'Lingala']",['Bangala'],lin,Native speakers: 20 million (2020)[1]L2 speakers: 20 million speakers (2020)[1],Congo River,"
 Congo–Kinshasa (national language)
 Congo-Brazzaville (national language)
",
806,Ancient_Egypt,,,,,,,
807,Ossetian_language,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Eastern', 'Scythian', 'Ossetian']","['Digor', 'Iron', 'Jassic', ' ', '†']",oss,"490,000 (2020 census)[1]",Caucasus,"
 Russia
  North Ossetia–Alania



 Georgia
  Provisional Administration of South Ossetia



Partially recognized states: South Ossetia",
808,Cimbrian_language,"['Indo-European', 'Germanic', 'West Germanic', 'Elbe Germanic', 'High German', 'Upper German', 'Bavarian', 'Cimbrian']",,cim,400 (2000)[1],,, Italy Trentino
809,Autonomous_prefectures_of_the_People%27s_Republic_of_China,,,,,,,
810,Ontong_Java_Atoll,,,,,,,
811,Republic_of_Abkhazia,,,,,,,
812,Nujiang_Lisu_Autonomous_Prefecture,,,,,,,
813,Xaracuu_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Southern', 'South Southern', 'Xaracuu–Xaragure', 'Kanala']",,ane,"5,700 (2009 census)[1]",Canala,,
814,Hinuq_language,"['Northeast Caucasian', 'Tsezic', 'Tsez–Hinukh', 'Hinuq']",,gin,350 (2010 census)[1],Southern Dagestan,,
815,Parya_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Western Hindi', 'Parya']",,paq,"2,600 (2008–2017)[1]Tajikistan: 1,600 (2017)[1]Uzbekistan: 1,000 (2008)[1]Afghanistan: Extinct (no date)[1]","Gissar Valley, Surkhandarya basin",,
816,British_Columbia,,,,,,,
817,Estonia,,,,,,,
818,Krasnoyarsk_Krai,,,,,,,
819,Regions_of_Italy,,,,,,,
820,Nunavut,,,,,,,
821,Mali,,,,,,,
822,Co-operative_Republic_of_Guyana,,,,,,,
823,Hellenic_Republic,,,,,,,
824,Zuni_language,['Language isolate'],,zun,"9,620 (2015)[1]",Western New Mexico,,
825,Abkhaz_language,"['Northwest Caucasian', 'Abazgi', 'Abkhaz']","['Abzhywan', 'Bzyp', 'Sadz']",abk  Abkhazian,"190,000 (2015–2019)[1]",Georgia,Republic of Abkhazia[a],Georgia
826,West_Nusa_Tenggara,,,,,,,
827,Municipalities_and_cities_of_Serbia,,,,,,,
828,%C3%84ynu_language,"['Turkic', 'Common Turkic', 'Karluk', '[2]', 'Äynu']",,aib,"12,000 (2017)[1]",Xinjiang,,
829,Judaism,,,,,,,
830,Navarre,,,,,,,
831,Lakshadweep,,,,,South India,,
832,Romania,,,,,,,
833,Kh%C3%BCn_language,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Northwestern', 'Khun']",,kkh,"(100,000 cited 1990)[1]",Kengtung,, Myanmar
834,Ukraine,,,,,,,
835,Cape_Verde,,,,,,,
836,Republic_of_Guinea,,,,,,,
